year,mentor,authors,blog title,url
2018,John Baez,Maru Sarazola,Dynamical Systems and Their Steady States,https://golem.ph.utexas.edu/category/2018/04/dynamical_systems_and_their_st.html
2018,John Baez,Jonathan Lorand and Fabrizio Genovese,Hypergraph Categories of Cospans,https://golem.ph.utexas.edu/category/2018/02/hypergraph_categories_of_cospa.html
2018,Aleks Kissinger,Joseph Moeller and Dmitry Vagner,A Categorical Semantics for Causal Structure,https://golem.ph.utexas.edu/category/2018/01/a_categorical_semantics_for_ca.html
2018,Aleks Kissinger, Pablo Andres-Martinez and Sophie Raynor,Beyond Classical Bayesian Networks,https://golem.ph.utexas.edu/category/2018/07/bayesian_networks.html
2018,Martha Lewis,Tai-Danae Bradley and Brad Theilman,"Cognition, Convexity, and Category Theory",https://golem.ph.utexas.edu/category/2018/03/cognition_convexity_and_catego.html
2018,Martha Lewis,Sarah Griffith and Jade Master,Linguistics Using Category Theory,https://golem.ph.utexas.edu/category/2018/02/linguistics_using_category_the.html
2018,Pavel Sobocinski,Eliana Lorch and Joshua Tan,The Behavioral Approach to Systems Theory,https://golem.ph.utexas.edu/category/2018/06/the_behavioral_approach_to_sys.html
2018,Pavel Sobocinski,Daniel Cicala and Jules Hedges,Cartesian Bicategories,https://golem.ph.utexas.edu/category/2018/02/cartesian_bicategories.html
2019,Miriam Backens,Fatimah Ahmadi and John van de Wetering,The ZX-Calculus for Stabilizer Quantum Mechanics,https://golem.ph.utexas.edu/category/2019/04/the_zxcalculus_for_stabilizer.html#more
2019,Miriam Backens,Giovanni de Felice and Leo Lobski,Normalising Quantum Circuits,https://golem.ph.utexas.edu/category/2019/03/normalising_quantum_circuits.html
2019,Tobias Fritz,Martin Lundfall and Brandon Shapiro,Partial Evaluations 1,https://golem.ph.utexas.edu/category/2019/05/partial_evaluations.html
2019,Tobias Fritz,Carmen Constantin,Partial Evaluations 2,https://golem.ph.utexas.edu/category/2019/09/partial_evaluations_2.html
2019,Pieter Hofstra,Adam Ó Conghaile and Diego Roque,Total Maps of Turing Categories,https://golem.ph.utexas.edu/category/2019/11/total_maps_of_turing_categorie.html
2019,Pieter Hofstra,Georgios Bakirtzis and Christian Williams,Turing Categories,https://golem.ph.utexas.edu/category/2019/08/turing_categories.html
2019,Bartosz Milewski,Fosco Loregian and Bryce Clarke,Doubles for Monoidal Categories,https://golem.ph.utexas.edu/category/2019/11/doubles_for_monoidal_categorie.html
2019,Bartosz Milewski,Emily Pillmore and Mario Román,Profunctor Optics: The Categorical View,https://golem.ph.utexas.edu/category/2020/01/profunctor_optics_the_categori.html
2019,Mehrnoosh Sadrzadeh,Dan Shiebler and Alexis Toumi,Meeting the Dialogue Challenge,https://golem.ph.utexas.edu/category/2019/06/meeting_the_dialogue_challenge.html
2019,David Spivak,Toby Smithe and Bruno Gavranović,Behavioral Mereology,https://golem.ph.utexas.edu/category/2019/06/behavioral_mereology.html
2019,David Spivak,Sophie Libkind and David Jaz Myers,Graphical Regular Logic,https://golem.ph.utexas.edu/category/2019/08/graphical_regular_logic.html
2020,Valeria de Paiva,Elena Di Lavore and Xiaoyan Li,Linear Logic Flavoured Composition of Petri Nets,https://golem.ph.utexas.edu/category/2020/07/linear_logic_flavoured_composi.html
2020,Michael Shulman,Nuiok Dicaire and Paul Lessard,Shulman’s Practical Type Theory for Symmetric Monoidal Categories,https://golem.ph.utexas.edu/category/2021/09/shulmans_practical_type_theory.html
2021,Helle Hvid Hansen and Clemens Kupke,Stelios Tsampas and Amin Karamlou,Structure vs. Observation,https://golem.ph.utexas.edu/category/2021/05/structure_vs_observation.html
2021,James Fairbanks and Evan Patterson,Anna Knörr ,Cospans and Computation - Part 1,https://golem.ph.utexas.edu/category/2021/08/cospans_and_computation_part_1.html
2021,James Fairbanks and Evan Patterson,Angeline Aguinaldo,Cospans and Computation - Part 2,https://golem.ph.utexas.edu/category/2021/08/cospans_and_computation_part_2.html
2021,James Fairbanks and Evan Patterson,Angeline Aguinaldo and Anna Knörr ,Cospans and Computation - Part 3,https://golem.ph.utexas.edu/category/2021/09/cospans_and_computation_-_part_3.html
2021,Simona Paoli,Claire Ott and Emma Phillips ,Weakly globular double categories: a model for bicategories,https://golem.ph.utexas.edu/category/2021/09/weakly_globular_double_categor.html
2021,Simon Willerton,Matthew Di Meglio and Owen Lewis	,Concepts and Profunctor Nuclei,https://golem.ph.utexas.edu/category/2022/02/concepts_and_profunctor_nuclei.html
2022,Nicoletta Sabadini,Siddharth Bhat and Pim de Haan	,Timing Span(Graph) and Cospan(Graph),https://golem.ph.utexas.edu/category/2022/08/timing_spangraph_and_cospangra.html
2022,Filippo Bonchi,Phoebe Klett and Ralph Sarkis	,Relational Universal Algebra with String Diagrams,https://golem.ph.utexas.edu/category/2022/07/relational_universal_algebra_w.html
2022,Nicoletta Sabadini,Ruben van Belle and Miguel Lopez	,Compositional Constructions of Automata,https://golem.ph.utexas.edu/category/2022/07/compositional_constructions_of.html
2022,Paige North,Sean O’Connor and Ana Luiza Tenorio	,Learning to Lie with Sheaves,https://golem.ph.utexas.edu/category/2022/07/learning_to_lie_with_sheaves.html
2022,Paige North,Shreya Arya and Greta Coraglia	Identity ,Types in Context,https://golem.ph.utexas.edu/category/2022/07/identity_types_in_context.html
